"Symbol";"Value";"Unit";
"ATT_0173_1_02_BAC677_009";"1.5";"";
"REFERENCE";"1790373";"";
"ATT_0173_1_02_BAF016_008";"42";"";
"TraceParts.PartVersion";"1.1.12";"";
"SUPPLIER";"PHOENIX CONTACT";"";
"ATT_0173_1_02_AAZ343_003";"0.25";"";
"ATT_0173_1_02_BAA020_012";"13.25";"";
"ATT_0173_1_02_BAC739_009";"0.2";"";
"ATT_0173_1_02_BAG640_013";"Insertion in base strip";"";
"TraceParts.PartNumber";"10-23122020-043393";"";
"ATT_0173_1_02_AAO663_005";"4046356594820";"";
"DESIGN";"PCB connector";"";
"TraceParts.InstanceId";"10-23122020-0433938MCUEHY3RSO44OS88PA7GTT8R";"";
"ATT_0173_1_02_BAB577_010";"23.35";"";
"ATT_0173_1_02_BAC740_009";"0.2";"";
"TraceParts.PartLanguage";"en";"";
"TraceParts.PartTitle";"DFMC 1,5/10-STF-3,5";"";
"ATT_0173_1_02_AAP798_003";"IEC 61984";"";
"ATT_0173_1_02_BAC487_017";"PA";"";
"ATT_0173_1_02_BAC140_011";"V0";"";
"TRACEPARTS";"TRACEPARTS";"";
"ATT_0173_1_02_BAC676_009";"1.5";"";
