Designator,Mid X,Mid Y,Layer,Rotation
C1,118.233198mm,-103mm,Bottom,0
C3,96mm,-99mm,Bottom,180
C4,90.5mm,-77.5mm,Bottom,180
C5,90.5mm,-81.5mm,Bottom,180
C6,90.5mm,-83.5mm,Bottom,180
C7,88.5mm,-60mm,Bottom,180
C8,88.5mm,-58mm,Bottom,180
C9,110.925345mm,-53mm,Bottom,180
C10,110.925345mm,-55mm,Bottom,0
C_ACS1,105.5mm,-61mm,Bottom,180
C_ACS2,105.5mm,-63mm,Bottom,180
C_FILT1,110mm,-59.5mm,Bottom,0
C_ISO_A1,109.5mm,-68mm,Bottom,90
C_ISO_B1,111mm,-68mm,Bottom,270
C_ISO_C1,109.5mm,-75.97875mm,Bottom,90
C_ISO_D1,111mm,-75.97875mm,Bottom,270
C_ISO_E1,109.5mm,-84.09mm,Bottom,90
C_ISO_F1,111mm,-84.09mm,Bottom,270
C_TMP1,105.5mm,-54mm,Bottom,0
C_VCC_A1,110mm,-61.317866mm,Bottom,180
C_VCC_A2,110mm,-63.385732mm,Bottom,180
C_VCC_B1,119.5mm,-66.389236mm,Bottom,0
C_VCC_B2,120.404639mm,-84.95424mm,Bottom,0
C_VM_A1,119.5mm,-61.5mm,Bottom,180
C_VM_A2,120.404639mm,-89.750144mm,Bottom,0
C_VM_B1,119.5mm,-69.48206mm,Bottom,180
C_VM_B2,120.404639mm,-86.469541mm,Bottom,0
D4,126mm,-64.5mm,Bottom,270
D5,126mm,-73mm,Bottom,90
D6,126mm,-83mm,Bottom,90
D7,126mm,-92.5mm,Bottom,90
F1,135mm,-65.5mm,Bottom,90
F2,135mm,-72.5mm,Bottom,90
F3,135mm,-79.5mm,Bottom,270
F4,135mm,-86.5mm,Bottom,90
R5,90.5mm,-79.5mm,Bottom,180
R6,119.5mm,-67.935648mm,Bottom,180
R7,119.5mm,-63.296412mm,Bottom,0
R8,120.404639mm,-87.984843mm,Bottom,180
R9,120.404639mm,-83.438938mm,Bottom,0
R10,119.5mm,-64.842824mm,Bottom,0
R_BOOT1,104.336782mm,-77.409507mm,Bottom,0
R_LED1,79.571542mm,-67.737966mm,Bottom,90
C2,89.5mm,-101.5mm,Top,0
C11,122.079206mm,-54.658149mm,Top,0
C12,121.529806mm,-76.144158mm,Top,0
D1,126mm,-101mm,Top,90
D2,91mm,-94mm,Top,0
D3,79.694184mm,-69.515769mm,Top,90
J1,131.696898mm,-97mm,Top,180
J2,79.658888mm,-94.769931mm,Top,270
J3,135.303352mm,-76.218518mm,Top,90
R1,86.52703mm,-93.187434mm,Top,180
R2,83mm,-73.7651mm,Top,0
R3,83mm,-72.524078mm,Top,0
R4,86.52703mm,-96.524813mm,Top,180
SW1,85.456551mm,-79.401712mm,Top,90
SW2,102.613499mm,-79.401712mm,Top,90
U2,95.696663mm,-80.702787mm,Top,0
U3,94mm,-65.5mm,Top,0
U4,110mm,-68mm,Top,0
U5,110mm,-76.11125mm,Top,0
U6,110mm,-84.2225mm,Top,0
U7,110.925345mm,-53.957427mm,Top,180
U8,119.5mm,-65.54595mm,Top,180
U9,120.5mm,-86.675mm,Top,180
U10,105.171651mm,-56.95118mm,Top,270
U11,110mm,-61.365mm,Top,180
