Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22uF 25V","C_0805_2012Metric",118.233198,-103.000000,0.000000,bottom
"C3","0.1uF","C_0603_1608Metric",96.000000,-99.000000,180.000000,bottom
"C4","10uF 10V","C_0805_2012Metric",90.500000,-77.500000,180.000000,bottom
"C5","22uF 10V","C_0805_2012Metric",90.500000,-81.500000,180.000000,bottom
"C6","0.1uF","C_0603_1608Metric",90.500000,-83.500000,180.000000,bottom
"C7","0.1uF","C_0603_1608Metric",88.500000,-60.000000,180.000000,bottom
"C8","10uF 10V","C_0805_2012Metric",88.500000,-58.000000,180.000000,bottom
"C9","10uF 25V","C_0805_2012Metric",110.925345,-53.000000,180.000000,bottom
"C10","22uF 10V","C_0805_2012Metric",110.925345,-55.000000,0.000000,bottom
"C_ACS1","0.1uF","C_0603_1608Metric",105.500000,-61.000000,180.000000,bottom
"C_ACS2","10nF 10V","C_0603_1608Metric",105.500000,-63.000000,180.000000,bottom
"C_FILT1","1nF 10V","C_0603_1608Metric",110.000000,-59.500000,0.000000,bottom
"C_ISO_A1","0.1uF","C_0603_1608Metric",109.500000,-68.000000,90.000000,bottom
"C_ISO_B1","0.1uF","C_0603_1608Metric",111.000000,-68.000000,-90.000000,bottom
"C_ISO_C1","0.1uF","C_0603_1608Metric",109.500000,-75.978750,90.000000,bottom
"C_ISO_D1","0.1uF","C_0603_1608Metric",111.000000,-75.978750,-90.000000,bottom
"C_ISO_E1","0.1uF","C_0603_1608Metric",109.500000,-84.090000,90.000000,bottom
"C_ISO_F1","0.1uF","C_0603_1608Metric",111.000000,-84.090000,-90.000000,bottom
"C_TMP1","0.1uF","C_0603_1608Metric",105.500000,-54.000000,0.000000,bottom
"C_VCC_A1","10uF 10V","C_0805_2012Metric",110.000000,-61.317866,180.000000,bottom
"C_VCC_A2","10uF 10V","C_0805_2012Metric",110.000000,-63.385732,180.000000,bottom
"C_VCC_B1","0.1uF 25V","C_0603_1608Metric",119.500000,-66.389236,0.000000,bottom
"C_VCC_B2","0.1uF 25V","C_0603_1608Metric",120.404639,-84.954240,0.000000,bottom
"C_VM_A1","10uF 25V","C_0805_2012Metric",119.500000,-61.500000,180.000000,bottom
"C_VM_A2","10uF 25V","C_0805_2012Metric",120.404639,-89.750144,0.000000,bottom
"C_VM_B1","0.1uF 25V","C_0603_1608Metric",119.500000,-69.482060,180.000000,bottom
"C_VM_B2","0.1uF 25V","C_0603_1608Metric",120.404639,-86.469541,0.000000,bottom
"D4","SMBJ15CA","D_SMB",126.000000,-64.500000,-90.000000,bottom
"D5","SMBJ15CA","D_SMB",126.000000,-73.000000,90.000000,bottom
"D6","SMBJ15CA","D_SMB",126.000000,-83.000000,90.000000,bottom
"D7","SMBJ15CA","D_SMB",126.000000,-92.500000,90.000000,bottom
"F1","Polyfuse mSMD110","Fuse_1812_4532Metric",135.000000,-65.500000,90.000000,bottom
"F2","Polyfuse mSMD110","Fuse_1812_4532Metric",135.000000,-72.500000,90.000000,bottom
"F3","Polyfuse mSMD110","Fuse_1812_4532Metric",135.000000,-79.500000,-90.000000,bottom
"F4","Polyfuse mSMD110","Fuse_1812_4532Metric",135.000000,-86.500000,90.000000,bottom
"R5","10K","R_0603_1608Metric",90.500000,-79.500000,180.000000,bottom
"R6","10K","R_0603_1608Metric",119.500000,-67.935648,180.000000,bottom
"R7","10K","R_0603_1608Metric",119.500000,-63.296412,0.000000,bottom
"R8","10K","R_0603_1608Metric",120.404639,-87.984843,180.000000,bottom
"R9","10K","R_0603_1608Metric",120.404639,-83.438938,0.000000,bottom
"R10","10K","R_0603_1608Metric",119.500000,-64.842824,0.000000,bottom
"R_BOOT1","10K","R_0603_1608Metric",104.336782,-77.409507,0.000000,bottom
"R_LED1","330R","R_0603_1608Metric",79.571542,-67.737966,90.000000,bottom
"C2","100uF","CP_Elec_6.3x5.4",89.500000,-101.500000,0.000000,top
"C11","1000uF 25V","CP_Elec_10x10.5",122.079206,-54.658149,0.000000,top
"C12","1000uF 25V","CP_Elec_10x10.5",121.529806,-76.144158,0.000000,top
"D1","SS34","D_SMA",126.000000,-101.000000,90.000000,top
"D2","BAT54S","SOT-23",91.000000,-94.000000,0.000000,top
"D3","Red","D_0805",79.694184,-69.515769,90.000000,top
"J1","DC005-T25","BarrelJack_Horizontal",131.696898,-97.000000,180.000000,top
"J2","KH-TYPE-C-16P (Kinghelm)","KINGHELM_KH-TYPE-C-16P",79.658888,-94.769931,-90.000000,top
"J3","Conn_01x08","CONN-TH_8P-P3.50_JL271R-35008G01",135.303352,-76.218518,90.000000,top
"R1","5.1K","R_0402_1005Metric",86.527030,-93.187434,180.000000,top
"R2","22R","R_0402_1005Metric",83.000000,-73.765100,0.000000,top
"R3","22R","R_0402_1005Metric",83.000000,-72.524078,0.000000,top
"R4","5.1K","R_0402_1005Metric",86.527030,-96.524813,180.000000,top
"SW1","RESET","SW-SMD_4P-L3.5-W3.0-P1.50-LS4.7",85.456551,-79.401712,90.000000,top
"SW2","BOOT","SW-SMD_4P-L3.5-W3.0-P1.50-LS4.7",102.613499,-79.401712,90.000000,top
"U2","AP2112K-3.3","SOT-23-5",95.696663,-80.702787,0.000000,top
"U3","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1",94.000000,-65.500000,0.000000,top
"U4","ISO7760DBQ","SSOP-16_3.9x4.9mm_P0.635mm",110.000000,-68.000000,0.000000,top
"U5","ISO7760DBQ","SSOP-16_3.9x4.9mm_P0.635mm",110.000000,-76.111250,0.000000,top
"U6","ISO7760DBQ","SSOP-16_3.9x4.9mm_P0.635mm",110.000000,-84.222500,0.000000,top
"U7","AMS1117-3.3","SOT-223-3_TabPin2",110.925345,-53.957427,180.000000,top
"U8","TB6612FNG","SSOP-24_5.3x8.2mm_P0.65mm",119.500000,-65.545950,180.000000,top
"U9","TB6612FNG","SSOP-24_5.3x8.2mm_P0.65mm",120.500000,-86.675000,180.000000,top
"U10","TMP235","SOT-353_SC-70-5",105.171651,-56.951180,-90.000000,top
"U11","ACS723xLCTR-05AB","SOIC-8_3.9x4.9mm_P1.27mm",110.000000,-61.365000,180.000000,top
