Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22uF 25V","C_0805_2012Metric",118.233198,-103.000000,180.000000,bottom
"C3","0.1uF","C_0603_1608Metric",90.000000,-87.000000,180.000000,bottom
"C4","10uF 10V","C_0805_2012Metric",90.000000,-78.000000,180.000000,bottom
"C5","22uF 10V","C_0805_2012Metric",90.000000,-81.125000,180.000000,bottom
"C6","0.1uF","C_0603_1608Metric",90.000000,-84.000000,180.000000,bottom
"C7","0.1uF","C_0603_1608Metric",95.217762,-60.000000,180.000000,bottom
"C8","10uF 10V","C_0805_2012Metric",98.655525,-60.000000,180.000000,bottom
"C9","10uF 25V","C_0805_2012Metric",115.685445,-78.635517,180.000000,bottom
"C10","22uF 10V","C_0805_2012Metric",124.136851,-76.322121,0.000000,bottom
"C_ACS1","0.1uF","C_0603_1608Metric",88.782237,-60.000000,180.000000,bottom
"C_ACS2","10nF 10V","C_0603_1608Metric",95.943426,-73.899418,90.000000,bottom
"C_FILT1","1nF 10V","C_0603_1608Metric",106.559092,-83.244295,90.000000,bottom
"C_ISO_A1","0.1uF","C_0603_1608Metric",107.767522,-74.004591,90.000000,bottom
"C_ISO_B1","0.1uF","C_0603_1608Metric",111.571442,-57.111181,90.000000,bottom
"C_ISO_C1","0.1uF","C_0603_1608Metric",106.954158,-66.545081,0.000000,bottom
"C_ISO_D1","0.1uF","C_0603_1608Metric",110.008365,-57.153049,90.000000,bottom
"C_ISO_E1","0.1uF","C_0603_1608Metric",107.000000,-60.000000,0.000000,bottom
"C_ISO_F1","0.1uF","C_0603_1608Metric",125.225000,-82.000000,0.000000,bottom
"C_TMP1","0.1uF","C_0603_1608Metric",95.405499,-77.991484,180.000000,bottom
"C_VCC_A1","10uF 10V","C_0805_2012Metric",110.478598,-59.788416,180.000000,bottom
"C_VCC_A2","10uF 10V","C_0805_2012Metric",110.478598,-61.788416,180.000000,bottom
"C_VCC_B1","0.1uF 25V","C_0603_1608Metric",122.232169,-71.017962,0.000000,bottom
"C_VCC_B2","0.1uF 25V","C_0603_1608Metric",119.161840,-74.000000,180.000000,bottom
"C_VM_A1","10uF 25V","C_0805_2012Metric",115.825410,-71.525494,180.000000,bottom
"C_VM_A2","10uF 25V","C_0805_2012Metric",115.825410,-73.525494,180.000000,bottom
"C_VM_B1","0.1uF 25V","C_0603_1608Metric",115.753091,-76.736421,180.000000,bottom
"C_VM_B2","0.1uF 25V","C_0603_1608Metric",115.753091,-75.243124,180.000000,bottom
"D4","SMBJ15CA","D_SMB",131.450817,-56.061009,90.000000,bottom
"D5","SMBJ15CA","D_SMB",127.000000,-92.000000,0.000000,bottom
"D6","SMBJ15CA","D_SMB",135.427191,-64.853414,-90.000000,bottom
"D7","SMBJ15CA","D_SMB",135.427191,-79.482625,-90.000000,bottom
"F1","Polyfuse mSMD110","Fuse_1812_4532Metric",137.000000,-58.604079,180.000000,bottom
"F2","Polyfuse mSMD110","Fuse_1812_4532Metric",135.427191,-86.767230,-90.000000,bottom
"F3","Polyfuse mSMD110","Fuse_1812_4532Metric",135.427191,-71.904730,-90.000000,bottom
"F4","Polyfuse mSMD110","Fuse_1812_4532Metric",126.000000,-97.000000,180.000000,bottom
"R5","10K","R_0603_1608Metric",92.000000,-60.000000,180.000000,bottom
"R6","10K","R_0603_1608Metric",121.175000,-63.000000,180.000000,bottom
"R7","10K","R_0603_1608Metric",124.613382,-61.835834,90.000000,bottom
"R8","10K","R_0603_1608Metric",119.175000,-71.000000,180.000000,bottom
"R9","10K","R_0603_1608Metric",122.239228,-72.563862,180.000000,bottom
"R10","10K","R_0603_1608Metric",121.254824,-60.753184,180.000000,bottom
"R_BOOT1","10K","R_0603_1608Metric",104.336782,-77.409507,0.000000,bottom
"R_LED1","330R","R_0603_1608Metric",79.571542,-67.737966,90.000000,bottom
