Category	MFR Part #	Footprint	Description	JLCPCB Part #	JLCPCB Parts Qty	Global Sourcing Parts Qty	Consigned Parts Qty	Unit Price($)	Total Price($)
Optoelectronics	TSOP38238	SIP-3-2.54mm	-25℃~+85℃ 10mW 2.5V~5.5V 350uA 38kHz 45m ±45° SIP-3-2.54mm Infrared Remote Receiver (IRM) ROHS	C141632	2	0	0	0.78	1.55
Resistors	0805W8F1000T5E	0805	-55℃~+155℃ 100Ω 125mW 150V Thick Film Resistor ±1% ±100ppm/℃ 0805 Chip Resistor - Surface Mount ROHS	C17408	0	0	0	0	0
Resistors	0805W8F2200T5E	0805	-55℃~+155℃ 125mW 150V 220Ω Thick Film Resistor ±1% ±100ppm/℃ 0805 Chip Resistor - Surface Mount ROHS	C17557	0	0	0	0	0
Optoisolators	LTV-817S	SMD-4P	-55℃~+110℃ 1 1.2V 100mV@20mA,1mA 200mW 35V 3us 4us 50% 50mA 50mA 5kV 600% 6V DC Phototransistor SMD-4P Transistor, Photovoltaic Output Optoisolators ROHS	C189217	0	0	0	0	0
	B1205S-3WR2L	SIP,19.6x7mm	-40℃~+85℃ 1 1.5kV 10.8V~13.2V 2400uF 250kHz 3W 4mA 5V 600mA 80mVp-p 83% Short Circuit Protection SIP,19.6x7mm Isolated Power Modules ROHS	C20622657	10	0	0	1.51	15.07
Circuit Protection	MF-R020-2	插件	-40℃~+85℃ 1.5Ω 4.4Ω 400mW 插件 Resettable Fuses ROHS	C208471	0	0	0	0	0
Power Management (PMIC)	AP2112K-3.3TRG1	SOT-23-5	-40℃~+85℃@(Ta) 1 10uA 3.3V 320mV@(600mA) 5.5V 600mA 75dB@(1kHz) Fixed Over Temperature Protection Positive SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS	C23380830	0	0	0	0	0
Magnetic Sensors	ACS723LLCTR-05AB-T	SOIC-8	-40℃~+150℃ 0.65mΩ 2400Vrms 400mV/A 5A 5V Support SOIC-8 Current Sensors ROHS	C2655492	2	0	0	3.4	6.8
Transistors/Thyristors	BC547-B	TO-92-3	1 NPN 100mA 150MHz 15nA 200 45V 600mV 625mW 6V NPN TO-92-3 Bipolar (BJT) ROHS	C2844035	10	0	0	0.04	0.33
Sensors	TMP235A4DCKR	SC-70-5	-40℃~+150℃ 2.3V~5.5V ±1℃ SC-70-5 Temperature Sensors ROHS	C2861437	2	0	0	0.36	0.71
Signal Isolation Devices	ISO7760DBQR	SSOP-16-150mil	-55℃~+125℃ 0 100Mbps 100kV/us 11ns 2.25V~5.5V 2.25V~5.5V 5000 6 High Level SSOP-16-150mil Digital Isolators ROHS	C2868628	5	0	0	1.3	6.49
