JLCPCB BOM Tool - BOM Matching																	
BOM name：VSP-WSC-4_1.2_bom-JLCPCB Assembly Order.xlsx			Download Time：2026-05-20 02:46:47				"* Our matching results are updated in real-time, but stock and prices may change. 
If it's been over 24 hours, please re-match before placing your order."										
PCB Assembled Qty：5			Est. Total Price：61.6327														
Your BOM					Matched Parts							Order Information					
Top Designator	Bottom Designator	Comment	Footprint	JLCPCB Part #	Matches	Part # 	Manufacturer	Footprint	Description	Category	Warning	JLCPCB Part #	Product link	Lib Type	Qty	Source	Total Price ($)
	C1	22uF25V	0805		Select by System	CL21A226MAQNNNE	Samsung Electro-Mechanics	0805	22uF 25V X5R ±20% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	Multilayer Ceramic Capacitors MLCC - SMD/SMT		C45783	https://jlcpcb.com/partdetail/46786-CL21A226MAQNNNE/C45783	Basic	20	20 JLCPCB	0.692
C2		100uF	CP_Elec_6.3x5.4		Select by System	FVH016ADA101M0654	FOSAN	6.3x5.4	-55℃~+105℃ 100uF 16V 5.4mm 6.3mm ±20% 6.3x5.4 Aluminum Electrolytic Capacitors - SMD ROHS	Aluminum Electrolytic Capacitors - SMD		C7469977	https://jlcpcb.com/partdetail/FOSAN-FVH016ADA101M0654/C7469977	Extended	5	5 JLCPCB	0.1895
	C3,C6,C7,C_ACS1,C_ISO_A1,C_ISO_B1,C_ISO_C1,C_ISO_D1,C_ISO_E1,C_ISO_F1,C_TMP1	0.1uF	0603		Unconfirmed	CL10B104KA8NNNC	Samsung Electro-Mechanics	0603	100nF 25V X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	Multilayer Ceramic Capacitors MLCC - SMD/SMT	"1.Multiple lines in the BOM have been matched to the same part. Please check if the matching is correct. ;
2.There may be multiple types of parts, but one type of part has been matched. Please check.;"	C1590	https://jlcpcb.com/partdetail/1942-CL10B104KA8NNNC/C1590	Extended	85	85 JLCPCB	0.3315
	C_VCC_B1,C_VCC_B2,C_VM_B1,C_VM_B2	0.1uF25V	0603		Unconfirmed	CL10B104KA8NNNC	Samsung Electro-Mechanics	0603	100nF 25V X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	Multilayer Ceramic Capacitors MLCC - SMD/SMT	"1.Multiple lines in the BOM have been matched to the same part. Please check if the matching is correct. ;
2.There may be multiple types of parts, but one type of part has been matched. Please check.;"	C1590	https://jlcpcb.com/partdetail/1942-CL10B104KA8NNNC/C1590	Extended	85	85 JLCPCB	0.3315
	C4,C8,C_VCC_A1,C_VCC_A2	10uF10V	0805		Unconfirmed	CL21A106KPFNNNE	Samsung Electro-Mechanics	0805	10V 10uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	Multilayer Ceramic Capacitors MLCC - SMD/SMT	1.There may be multiple types of parts, but one type of part has been matched. Please check.;	C17024	https://jlcpcb.com/partdetail/17708-CL21A106KPFNNNE/C17024	Extended	30	30 JLCPCB	0.561
	C9,C_VM_A1,C_VM_A2	10uF25V	0805		Unconfirmed	CL21A106KAYNNNE	Samsung Electro-Mechanics	0805	10uF 25V X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	Multilayer Ceramic Capacitors MLCC - SMD/SMT	1.There may be multiple types of parts, but one type of part has been matched. Please check.;	C15850	https://jlcpcb.com/partdetail/16532-CL21A106KAYNNNE/C15850	Basic	25	25 JLCPCB	0.6475
	C10,C5	22uF10V	0805		Select by System	CL21A226MPQNNNE	Samsung Electro-Mechanics	0805	10V 22uF X5R ±20% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	Multilayer Ceramic Capacitors MLCC - SMD/SMT		C29277	https://jlcpcb.com/partdetail/30029-CL21A226MPQNNNE/C29277	Extended	20	20 JLCPCB	0.416
C11,C12		1000uF25V	CP_Elec_10x10.5		Select by System	189RV0034	KNSCHA	SMD,D10xL10.5mm	-55℃~+105℃ 1.19A@100KHz 10.5mm 1000uF 10mm 2000hrs@105℃ 25V 60mΩ@100KHz ±20% SMD,D10xL10.5mm Aluminum Electrolytic Capacitors - SMD ROHS	Aluminum Electrolytic Capacitors - SMD		C7471896	https://jlcpcb.com/partdetail/KNSCHA-189RV0034/C7471896	Extended	10	10 JLCPCB	2.504
	C_ACS2	10nF10V	0603		Select by System	CC0603KRX7R6BB103	YAGEO	0603	10V 10nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	Multilayer Ceramic Capacitors MLCC - SMD/SMT		C519405	https://jlcpcb.com/partdetail/YAGEO-CC0603KRX7R6BB103/C519405	Extended	20	20 JLCPCB	0.06
