Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C40, C41, C42, C43, C5, C6, C7, C8",0402,12,100nF,C1525
C10,1210,1,100uF 25V,C2840614
"C11, C14, C15, C18, C21, C22, C23, C24, C25, C26, C27",0603,11,0.1uF,C1590
"C12, C16, C28, C29",0805,4,10uF 10V,C17024
"C13, C35",0805,2,22uF 10V,C29277
C17,0603,1,1uF,C15849
C19,0603,1,10nF 10V,C519405
C20,0603,1,1nF 10V,C519402
"C30, C31, C38, C39",0603,4,0.1uF 25V,C1590
"C32, C36, C37",0805,3,10uF 25V,C15850
"C33, C34",CP_Elec_10x10.5,2,1000uF 25V,C7471896
C9,0805,1,22uF 25V,C45783
D1,D_SMA,1,SS54,C22452
"D10, D11",D_SMA,2,SS34,C8678
D3,0805,1,Red,C84256
D4,0805,1,White,C84258
D5,0805,1,Blue,C2293
"D6, D7, D8, D9",D_SMA,4,SMAJ15CA,C223985
"F1, F2, F3, F4",1206,4,Polyfuse 1206L110/16NR,C7542961
J1,BarrelJack_Horizontal,1,DC005-T20,C111567
J2,USB_Micro-B_XKB_U254-051T-4BH83-F1S,1,USB_B_Micro,C397452
J3,PinHeader_1x07_P2.54mm_Vertical,1,Conn_01x07,C492404
J4,1786918,1,Phoenix Contact 1786918,C6652293
"Q1, Q2",SOT-23,2,2N7002,C8545
"Q3, Q4",SOT-23,2,S8050,C2146
"R1, R14, R2, R3, R4, R5, R6, R7, R8",0603,9,1k,C14676
"R10, R9",0402,2,22R,C25092
"R11, R12, R15, R17, R18, R19, R20, R21, R22, R23, R24",0603,11,10K,C25804
R13,0603,1,330R,C23138
R16,0603,1,1.8K,C4177
SW1,SW-SMD_4P-L3.5-W3.0-P1.50-LS4.7,1,RESET,C51927445
SW2,SW-SMD_4P-L3.5-W3.0-P1.50-LS4.7,1,BOOT,C51927445
U1,DCDC_HYBRID_SLC03_TEC2,1,DCDC Converter,C20622657
U10,SOT-353_SC-70-5,1,TMP235,C2861437
U11,SOIC-8_3.9x4.9mm_P1.27mm,1,ACS725LLCTR-05AB-T,C3684552
"U12, U13, U14, U15, U16",SOT-143,5,PRTR5V0U2X,C12333
U2,SOT-23-5,1,AP2112K-3.3,C23380830
U3,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913197
"U4, U5, U6",SSOP-16_3.9x4.9mm_P0.635mm,3,ISO7760DBQ,C2868628
U7,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
"U8, U9",SSOP-24_5.3x8.2mm_P0.65mm,2,TB6612FNG,C88224
