Designator,Mid X,Mid Y,Rotation,Layer
C1,129.339784,-98.306378,270.0,bottom
C10,90.135,-111.76,0.0,top
C11,90.135,-111.76,180.0,bottom
C12,90.636662,-103.505,0.0,top
C13,90.613913,-105.678282,0.0,top
C14,90.589833,-107.580629,0.0,top
C15,91.696976,-59.173884,0.0,bottom
C16,91.723719,-57.228096,0.0,bottom
C17,88.775,-86.5,180.0,bottom
C18,104.850022,-57.5,90.0,bottom
C19,104.850022,-60.725,90.0,bottom
C2,129.339784,-101.118521,270.0,bottom
C20,110.0,-59.5,180.0,bottom
C21,105.0,-52.0,90.0,bottom
C22,109.5,-68.0,90.0,bottom
C23,111.0,-68.0,270.0,bottom
C24,108.99,-77.0,90.0,bottom
C25,110.49,-77.0,270.0,bottom
C26,109.5,-86.0,90.0,bottom
C27,111.0,-86.0,270.0,bottom
C28,110.0,-63.385732,180.0,bottom
C29,110.0,-61.317866,180.0,bottom
C3,129.339784,-92.682093,270.0,bottom
C30,118.0,-86.983026,0.0,bottom
C31,118.0,-65.875,0.0,bottom
C32,110.925345,-53.0,0.0,bottom
C33,122.079206,-54.658149,180.0,top
C34,121.529806,-76.144158,180.0,top
C35,110.925345,-55.0,180.0,bottom
C36,118.0,-62.0,180.0,bottom
C37,118.0,-83.216051,180.0,bottom
C38,118.0,-69.5,180.0,bottom
C39,118.0,-90.5,180.0,bottom
C4,129.339784,-95.494235,270.0,bottom
C40,126.127116,-99.565,270.0,bottom
C41,126.127116,-94.841183,270.0,bottom
C42,126.127116,-89.69,270.0,bottom
C43,126.127116,-85.245,270.0,bottom
C5,129.339784,-87.057807,270.0,bottom
C6,129.339784,-89.86995,270.0,bottom
C7,129.339784,-81.435,270.0,bottom
C8,129.339784,-84.245664,270.0,bottom
C9,113.476864,-107.315,0.0,bottom
D1,125.73,-111.22,90.0,top
D10,86.5,-97.45,0.0,bottom
D11,86.5,-102.0,0.0,bottom
D3,79.694184,-67.381953,90.0,top
D4,79.5,-58.56,90.0,top
D5,139.0,-102.5,90.0,top
D6,139.7,-82.645,90.0,bottom
D7,139.7,-75.476073,270.0,bottom
D8,139.7,-68.262145,270.0,bottom
D9,139.7,-61.138218,270.0,bottom
F1,131.702992,-74.51501,270.0,bottom
F2,131.702992,-69.771677,90.0,bottom
F3,131.702992,-65.028343,90.0,bottom
F4,131.702992,-60.28501,90.0,bottom
J1,134.67,-107.8275,180.0,top
J2,78.942818,-110.922841,270.0,top
J4,135.545,-79.280105,90.0,top
Q1,88.175,-59.45,270.0,bottom
Q2,126.0625,-105.5,180.0,top
Q3,84.4375,-83.9375,0.0,bottom
Q4,84.5625,-89.0,0.0,bottom
R1,130.175,-97.517857,180.0,top
R10,83.011608,-72.520822,0.0,top
R11,88.778092,-88.526685,0.0,bottom
R12,112.395,-74.295,180.0,bottom
R13,80.0,-66.0,180.0,bottom
R14,80.0,-57.5,180.0,bottom
R15,88.0,-64.5,90.0,bottom
R16,138.0,-101.5,0.0,bottom
R17,88.0,-67.825,90.0,bottom
R18,88.775,-90.5,0.0,bottom
R19,88.825,-84.5,180.0,bottom
R2,130.175,-100.33,180.0,top
R20,118.0,-85.224538,180.0,bottom
R21,118.0,-88.741513,0.0,bottom
R22,118.0,-64.0625,180.0,bottom
R23,118.0,-67.6875,0.0,bottom
R24,114.0,-65.5,90.0,bottom
R3,130.175,-91.893571,180.0,top
R4,130.175,-94.705714,180.0,top
R5,130.175,-86.269286,180.0,top
R6,130.175,-89.081429,180.0,top
R7,130.175,-80.645,180.0,top
R8,130.175,-83.457143,180.0,top
R9,83.011608,-73.742998,0.0,top
SW1,81.12372,-62.692624,0.0,top
SW2,109.875,-73.19,180.0,top
U1,107.055,-111.6785,180.0,top
U10,105.171651,-56.95118,90.0,top
U11,110.0,-61.365,90.0,top
U12,126.89062,-99.695,270.0,top
U13,126.89062,-94.825,270.0,top
U14,126.89062,-89.955,270.0,top
U15,126.89062,-85.72,270.0,top
U16,82.953885,-111.050099,270.0,bottom
U2,85.439999,-106.707787,0.0,top
U3,94.0,-65.5,0.0,top
U4,110.0,-68.0,270.0,top
U5,110.0,-78.4225,270.0,top
U6,110.0,-86.1325,270.0,top
U7,110.925345,-53.957427,0.0,top
U8,119.5,-65.54595,90.0,top
U9,119.5,-86.675,90.0,top
