Comment,Designator,Footprint,JLCPCB Part #
1uF,C17,0603,C15849
AP2112K-3.3,U2,SOT-23-5,C23380830
1.8K,R16,0603,C4177
Polyfuse1206L110/16NR,"F1,F2,F3,F4",1206,C7542961
1k,"R1,R2,R3,R4,R5,R6,R7,R8,R14",0603,C14676
TB6612FNG,"U8,U9",SSOP-24_5.3x8.2mm_P0.65mm,C88224
10K,"R11,R12,R15,R17,R18,R19,R20,R21,R22,R23,R24",0603,C25804
ISO7760DBQ,"U4,U5,U6",SSOP-16_3.9x4.9mm_P0.635mm,C2868628
White,D4,0805,C84258
Blue,D5,0805,C2293
22uF25V,C9,0805,C45783
DC005-T20,J1,BarrelJack_Horizontal,C111567
Red,D3,0805,C84256
PRTR5V0U2X,"U12,U13,U14,U15,U16",SOT-143,C5158049
RESET,"SW1,SW2",SW-SMD_4P-L3.5-W3.0-P1.50-LS4.7,C51927445
0.1uF,"C11,C14,C15,C18,C21,C22,C23,C24,C25,C26,C27,C30,C31,C38,C39",0603,C1590
SMAJ15CA,"D6,D7,D8,D9",D_SMA,C223985
2N7002,"Q1,Q2",SOT-23,C8545
SS54,D1,D_SMA,C22452
10nF10V,C19,0603,C519405
10uF10V,"C12,C16,C28,C29",0805,C17024
330R,R13,0603,C23138
1000uF25V,"C33,C34",CP_Elec_10x10.5,C7471896
DCDCConverter,U1,DCDC_HYBRID_SLC03_TEC2,C20622657
ESP32-S3-WROOM-1,U3,ESP32-S3-WROOM-1,C2913197
USB_B_Micro,J2,USB_Micro-B_XKB_U254-051T-4BH83-F1S,C397452
100uF16V,C10,1210,C7432790
1nF10V,C20,0603,C519402
22uF10V,"C13,C35",0805,C29277
22R,"R9,R10",0402,C25092
PhoenixContact1786918,J4,1786918,C6652293
10uF25V,"C32,C36,C37",0805,C15850
ACS725LLCTR-05AB-T,U11,SOIC-8_3.9x4.9mm_P1.27mm,C3684552
100nF,"C1,C2,C3,C4,C5,C6,C7,C8,C40,C41,C42,C43",0402,C1525
S8050,"Q3,Q4",SOT-23,C2146
AMS1117-3.3,U7,SOT-223-3_TabPin2,C6186
SS34,"D10,D11",D_SMA,C8678
TMP235,U10,SOT-353_SC-70-5,C2861437
